id;es;en
Q1001853;Buenos Aires National Wildlife Refuge;Buenos Aires National Wildlife Refuge
Q1004291;Bullensee;Bullensee
Q10430877;Blacksås;Blacksås
Q10431822;Boarps hed;Boarps hed
Q10431948;Bodagrottorna;Bodagrottorna
Q10432083;Boglundsängen;Boglundsängen
Q10432274;Bokullen;Bokullen
Q10432826;Bondberget;Bondberget
Q10433291;Bornsjön;Bornsjön nature reserve
Q10433332;Borstbäcken;Borstbäcken
Q1008156;Garajau;Garajau
Q1009522;Bunkenmoor;Bunkenmoor
Q1009638;Bunner Masuren;Bunner Masuren
Q10433414;Bosarps Jär;Bosarps Jär
Q10433446;Boskapsön;Boskapsön
Q10434880;Bratteforsån;Bratteforsån
Q10434907;Brattön;Brattön
Q10435025;Bredfjället;Bredfjället
Q10435627;Brinkbäcken;Brinkbäcken
Q10435974;Brogård;Brogård
Q1013353;Torcal de Antequera;El Torcal de Antequera
Q1014784;Burgaue;Burgaue
Q1015119;Burglehen;Burglehen
Q1010407;Burckhardtshöhe;Burckhardtshöhe
Q1011544;Ein Guedi;Ein Gedi
Q10436569;Bryggholmen;Bryggholmen
Q10436925;Bräkentorp;Bräkentorp
Q10436941;Brämön;Brämön
Q10437018;Brånberget;Brånberget
Q10437664;Bullerö;Bullerö nature reserve
Q10437760;Bunkeflo strandängar;Bunkeflo strandängar
Q10438586;Bågaliden;Bågaliden
Q10438614;Bårsjön;Bårsjön
Q104425363;NSG Stuckenberg (LP Herford-Hiddenhausen);Stuckenberg
Q104426066;NSG Stuckenberg (LP Vlotho);Stuckenberg
Q10438758;Börs Flåg;Börs Flåg
Q10465930;Dagnäsön;Dagnäsön
Q10465959;Dagstorps mosse;Dagstorps mosse
Q10466093;Dalbobergen;Dalbobergen
Q10468289;Delsjöområdet;Delsjöområdet
Q10472430;Digesgård;Digesgård
Q10474963;Djurholmamossen;Djurholmamossen
Q1017750;Bustedter Wiesen;Bustedter Wiesen
Q1018045;Butterberg/Hopfenbusch;Butterberg und Hopfenbusch bei Bartolfelde
Q10474967;Djurmoklack;Djurmoklack
Q10475769;Domarudden;Domarudden
Q10475775;Domedejla mosse med omgivningar;Domedejla mosse med omgivningar
Q10475843;Domsten-Viken;Domsten-Viken
Q10476276;Dovrasjödalen;Dovrasjödalen
Q10476434;Drags udde;Drags udde
Q10476447;Drakamöllan;Drakamöllan
Q10477865;Duvestubbe;Duvestubbe
Q1018127;Buttermoor/Butterbargsmoor;Buttermoor / Butterbargsmoor
Q1018641;Byrums raukar;Byrum's raukar
Q1018972;Bäken der Endeler und Holzhauser Heide;Bäken der Endeler und Holzhauser Heide
Q1019070;Bärenbachstal;Bärenbachstal
Q1019617;Bödakustens östra;Bödakustens östra
Q1019724;Böhmetal bei Huckenrieth;Böhmetal bei Huckenrieth
Q1020082;Bösebruch;Bösebruch
Q1020088;Böseler Moor;Böseler Moor
Q1016645;Burlo-Vardingholter Venn/Entenschlatt;Burlo-Vardingholter Venn/Entenschlatt
Q1017749;Bustedter Holz;Bustedter Holz
Q10478622;Döbelns park;Döbelns park
Q10480478;Ekastiga;Ekastiga
Q10480617;Eketånga;Eketånga
Q10480665;Ekoberget;Ekoberget nature reserve
Q10481121;Eldgarnsö;Eldgarnsö Nature Reserve
Q101194182;Blåberget / Geavstoaivvi;Blåberget naturreservat
Q102488583;Santuario de Fauna y Flora Galeras;Galeras Fauna and Flora Sanctuary
Q103871431;Sur de Almería - Seco de los Olivos;Southern Almería - Chella bank
Q103938293;Laguna del Portil;Laguna de El Portil
Q103983963;Am Scheidebach;Am Scheidebach
Q1018965;Bährenbruch;Bährenbruch
Q1020427;Bückeburger Niederung;Bückeburger Niederung
Q1020733;Bültenmoor;Bültenmoor
Q1020735;Bülter See und Randmoore;Bülter See und Randmoore
Q1022461;Hasealtarm bei Wester;Hasealtarm bei Wester
Q1024904;Reserva Natural del Cabo de San Antonio;Cape Sant Antoni, Spain
Q1028814;Mittelsee bei Langwitz;Mittelsee bei Langwitz
Q1030114;Parque nacional Utrechtse Heuvelrug;Utrechtse Heuvelrug National Park
Q1034280;Reserva ecológica de Buenos Aires;Costanera Sur Ecological Reserve
Q10269244;Žabakor;Žabakor
Q10271159;El Piélago;El Piélago
Q10271930;Žebračka;Žebračka
Q10283504;Žernov;Žernov
Q10284272;Žežulka;Žežulka
Q10296199;Žižkův vrch;Žižkův vrch
Q10296375;Žlíbky;Žlíbky u Vráže
Q10296631;Žďár;Žďár
Q10345073;Reserva Florestal do Grajaú;Reserva Florestal do Grajaú
Q10359723;Pico da Vara;Reserva Florestal Natural Parcial do Pico da Vara
Q10359750;Ilhas Desertas;Ilhas Desertas (Site of Community Importance)
Q10359751;Reserva Natural de las Islas Salvajes;Ilhas Selvagens
Q10359748;Reserva Natural de las Dunas de San Jacinto;Reserva Natural das Dunas de S. Jacinto
Q10359749;Caldeiras Funda e Rasa;Caldeiras Funda e Rasa
Q10359754;Reserva Natural do Paul de Arzila;Reserva Natural do Paul de Arzila
Q10359752;Reserva Natural de las lagunas de San Andrés y de Sancha;Natural Reserve of the Lagoons of Santo André and Santa Sancha
Q10359756;Sítio da Rocha do Navio;Reserva Natural do Sítio da Rocha do Navio
Q10395951;Área de protección ambiental de las entrantes marañenses;Reentrâncias Maranhenses Environmental Protection Area
Q10396637;Kovářův žleb;Kovářův žleb
Q10396723;Šance;Šance
