id;es;en
Q10280274;Fato Consumado;Fato Consumado
Q10280364;Fawling Down;Fawling Down
Q10280380;Faz um Milagre em Mim;Faz um Milagre em Mim
Q10280904;Feitiço da Vila;Feitiço da Vila
Q10281726;Festa;Festa
Q10282040;Feuer;Feuer
Q10282140;Fight 'Till Death;Fight 'Till Death
Q10282404;Fim de Ano;Fim de Ano
Q10282408;Fim de Semana no Parque;Fim de Semana no Parque
Q10282409;Fim de Tarde;Fim de Tarde
Q10282579;Fio Maravilha;Fio Maravilha
Q10282773;Flight of the Rat;Flight of the Rat
Q10282790;Flor do Cafezal;Flor do Cafezal
Q10282788;Flor de Lis;Flor de Lis
Q10282827;Florentina;Florentina
Q1026736;Hold On Be Strong;Hold On Be Strong
Q1026762;Calico Skies;Calico Skies
Q1026783;California;California
Q1026811;California Dreamin';California Dreamin'
Q1027103;Call My Name;Call My Name
Q1027303;Calling You;Calling You
Q1027356;Love or Leave;Love or Leave
Q10283179;Foi na Travessa da Palha;Foi na Travessa da Palha
Q10283181;Foi um Milagre;Foi um Milagre
Q10283439;Forever and Ever;Forever and Ever
Q10283454;Forlorn Hope;Forlorn Hope
Q10284384;El chico del apartamento 512;El chico del apartamento 512
Q10285854;Freedom Day/Synthetic Man;Freedom Day/Synthetic Man
Q10286018;Frisson;Frisson
Q10286206;Fun;Fun
Q10286687;Futebol, Mulher & Rock 'n' Roll;Futebol, Mulher & Rock 'n' Roll
Q1027395;Never Forget;Never Forget
Q1027500;Malá dáma;Malá dáma
Q1027522;I Can't Give You Anything but Love, Baby;I Can't Give You Anything but Love, Baby
Q1027613;Never Let Me Down Again;Never Let Me Down Again
Q1027619;Just Can't Get Enough;Just Can't Get Enough
Q1027676;Got to Get;Got to Get
Q1027720;Dança comigo;Dança comigo
Q1027751;Ajde Kroči;Ajde Kroči
Q1027761;Salvem el món;Salvem el món
Q1027779;Victoria sobre el sol;Victory over the Sun
Q1027945;No Presents for Christmas;No Presents for Christmas
Q10287079;Fórmula Mágica da Paz;Fórmula Mágica da Paz
Q10288115;Galhos Secos;Galhos Secos
Q10288375;Garotas Choram Demais;Garotas Choram Demais
Q10288744;Genki Pikappika;Genki Pikappika
Q10288794;Gentileza;Gentileza
Q10289341;Get Naked (I Got a Plan);Get Naked (I Got a Plan)
Q10289347;Get on the Snake;Get on the Snake
Q10289657;Gimme Some Water;Gimme Some Water
Q10289787;Morq-e sahar;Morq-e sahar
Q10290000;Give Me a Reason;Give Me a Reason
Q10290001;Give a Lil' Love;Give a Lil' Love
Q10290518;Gonna Shine;Gonna Shine
Q10290519;Gonna Sing You My Lovesong;Gonna Sing You My Lovesong
Q1028031;Driving Home for Christmas;Driving Home for Christmas
Q1028032;Great Balls of Fire;Great Balls of Fire
Q1028150;Quédate conmigo;Quédate conmigo
Q1028162;Cambodia;Cambodia
Q1028221;Griselda;Griselda
Q102780600;Love (canción de CNBLUE);Love (CNBLUE song)
Q102791729;Impossible;Impossible
Q102811320;Route 66;Route 66
Q102822761;Strange Love;Strange Love
Q102876771;Come to Me;Come to Me
