id;es;en
Q106615201;Ermita de la Virgen de Gracia;Sanctuary of Nuestra Señora de Gracia, Mansilla de las Mulas
Q106617905;iglesia Corazón de Jesús;Iglesia Corazón de Jesús, Guadix
Q106620814;Iglesia de San Andrés;Church of Saint Andrew
Q106620815;Cruz de piedra junto a la Iglesia de San Andrés;Stone cross next to the Church of Saint Andrew
Q1064659;Santuario de Nuestra Señora de Loreto en Praga;Loreta
Q1064995;Abadía de la Santa Cruz (Burdeos);Church of the Holy Cross
Q10651603;Abadía de Reynistaðar;Reynistaðarklaustur
Q10659373;ruina de la iglesia de San Clemente;St. Clement church ruin
Q10661058;Iglesia de San Juan;Iglesia de San Juan
Q10661348;Sankt Eskils kyrka;Sankt Eskils kyrka
Q10661349;Catedral Ortodoxa Griega de San Jorge;Saint George Greek Orthodox Cathedral
Q10661406;Iglesia de San Lorenzo (Söderköping);St. Lawrence's Church
Q10661434;iglesia de San Nicolás;Saint Nicholas Church
Q10661502;iglesia de San Vicente;St. Vincent's Church
Q106456232;Templo Nuestra Señora De Las Mercedes;Templo Nuestra Señora De Las Mercedes
Q106463238;Templo conventual de San Antonio;Saint Anthony of Padua Convent, Puebla city, Puebla state, Mexico
Q106463656;Templo de Santa Inés;Templo de Santa Inés
Q106466339;Gran Mezquita de Ceuta;Great Mosque of Ceuta
Q106477750;Iglesia de Santiago;Igreja de Santiago
Q106480088;iglesia de San Gordiano y San Epímaco;St. Gordian und Epimachus
Q106480776;Iglesia de San Valerio;church of St Valerius
Q106486250;Iglesia de Resurrección;Church of Resurrection
Q106499435;Kapelle Hospitalstraße 1;Kapelle Hospitalstraße 1
Q106500116;St. Barbara;St. Barbara
Q106529315;Monasterio de Sant Bartomeu;Monestir de Sant Bartomeu
Q106532059;capilla Saint-Accurse;St Accurse chapel
Q106559342;La iglesia en Duckow;Church in Duckow
Q106576692;Ermita de Nuestra Señora de la Plaza;Hermitage of Virgen de la Plaza
Q106580786;Ermita de la Piedad;Hermitage of Piedad
Q106580785;Iglesia de San Pedro;Church of Saint Peter
Q106581046;Iglesia de Nuestra Señora de la Asunción;Church of the Assumption
Q106581047;Ermita de la Virgen de la Vega;Hermitage of Virgen de la Vega
Q106582835;Iglesia de San Pedro;Church of Saint Peter
Q106582909;Capilla de Nuestra Señora del Otero;Chapel of Our Lady of El Otero
Q106592095;Iglesia de la Magdalena;Church of Saint Mary Magdalene, Población de Campos
