id;es;en
Q104674;Ben Nevis;Ben Nevis
Q1001225;Duszniki-Zdrój;Duszniki-Zdrój
Q237;Ciudad del Vaticano;Vatican City
Q1005356;Rabka-Zdrój;Rabka-Zdrój
Q1011625;Fuerte Eketorp;Eketorp Fort
Q1011733;Gombasecka jaskyna;Gombasek Cave
Q1015079;Burghley House;Burghley House
Q243;torre Eiffel;Eiffel Tower
Q1015958;Praia do Forte;Praia do Forte
Q1016909;Burrell Collection;Burrell Collection
Q1018658;Bystrianska jaskyna;Bystrianska Cave
Q1020776;Cabo San Lucas;Cuernavaca
Q1021901;Bab Tuma;Bab Tuma
Q1025339;Isla Gulangyu;Gulangyu
Q1026689;Calgary Tower;Calgary Tower
Q1028420;Camden Market;Camden Market
Q1029566;Caminito;Caminito
Q1001297;Ustroń;Ustroń
Q1001995;Huanchaco;Huanchaco
Q104414491;Devils Garden Overlook;Devils Garden Overlook
Q104414533;Big Witch Overlook;Big Witch Overlook
Q1043953;Islas Kujū-ku;Kujūku Islands
Q1043967;Museo de Arte Carnegie;Carnegie Museum of Art
Q1045876;Templo del Buda de Esmeralda;Wat Phra Kaeo
Q1031852;Can Prunera;Can Prunera
Q1032269;Canadian Museum of History;Canadian Museum of History
Q1033211;Cuevas de Cangó;Cango Caves
Q1041718;Villa San Michele;Villa San Michele
Q1043631;Aeropuerto Internacional Murtala Muhammed;Murtala Muhammed International Airport
Q104416480;Pájaro Observation Blind;Pájaro Observation Blind
Q104416561;Sandhill Crane Overlook;Sandhill Crane Overlook
Q104416673;Dragonfly Trail Overlook;Dragonfly Trail Overlook
Q104416075;Smokey Bear Vista Point;Smokey Bear Vista Point
Q1046446;Casa Loma;Casa Loma
Q1046452;Museo Casa Vilamajó;Vilamajó House Museum
Q1046478;Museo Histórico Nacional, sede Casa del Gral. Juan Antonio Lavalleja;Casa de Juan Antonio Lavalleja, Montevideo
Q1046504;Casa del Gral. Fructuoso Rivera;Casa de Rivera, Montevideo
Q1046531;Museo Romántico de Montevideo;Museo Romántico of Montevideo
Q1046818;Residencia de montaña de Chengde;Chengde Mountain Resort and its outlying temples
Q1047097;Nezu Art Museum;Nezu Museum
Q104416685;Oxbow Nature Trail;Oxbow Nature Trail
Q104429548;Mirador de las Nieves;Mirador de las Nieves
Q104430512;Balcón de Femés;Balcón de Femés
Q104524665;Terrapin Mountain Overlook;Terrapin Mountain Overlook
Q104524868;Mills Gap Overlook;Mills Gap Overlook
Q10259759;Ténedos;Bozcaada
Q10283968;Fuerte de São Domingos da Baralha;São Domingos da Baralha Fortress
Q10286271;Fundación Casa de Jorge Amado;Fundação Casa de Jorge Amado
Q10306385;Jardines del Palacio de Cristal;Gardens of the Palácio de Cristal
Q10330326;Mini Mundo;Mini Mundo
Q10330516;Miradouro da Ponta da Madrugada;Miradouro da Ponta da Madrugada
Q10333402;Museo Arqueológico de Lemnos;Archaeological museum of Lemnos
Q10333548;Museo Monográfico de Conímbriga;Museu Monográfico de Conimbriga
Q10333619;Museo Rodin Bahía;Museu Rodin Bahia
Q10333638;Museu Victor Meirelles;Museu Victor Meirelles
Q10333640;Museo Vida de Cristo;Life of Christ Museum
Q10333677;Museo de Escritura del Sudoeste;Museu da Escrita do Sudoeste
Q10333766;Museu de Arte Moderna Aloísio Magalhães;Museu de Arte Moderna Aloísio Magalhães
Q10333768;Museo de Arte Moderno de Bahía;Museum of Modern Art of Bahia
Q104524908;Museo de Historia, Antropología y Arte;Museo de Historia, Antropología y Arte
Q104525686;Grandview Overlook;Grandview Overlook
Q10333803;Museo de Arte de Joinville;Joinville Art Museum
Q10333873;Museo de Évora;National Museum Frei Manuel do Cenáculo
Q10347239;Pedra do Índio;Pedra do Índio
Q10353427;Plaza de la Libertad (São Paulo);Praça da Liberdade
Q10384479;Tren de la Vale;Trem da Vale
Q10384502;Trentham Gardens;Trentham Gardens
Q100077409;Moores Creek National Battlefield Visitor Center;Moores Creek National Battlefield Visitor Center
Q104525698;Yonahlossee Overlook;Yonahlossee Overlook
Q104525713;Bear Den Overlook;Bear Den Overlook
Q104525734;Heffner Gap Overlook;Heffner Gap Overlook
Q100148242;Big Hole National Battlefield Visitor Center;Big Hole National Battlefield Visitor Center
Q104525737;Black Mountains Overlook;Black Mountains Overlook
Q100144041;Monocacy National Battlefield Visitor Center;Monocacy National Battlefield Visitor Center
Q100144490;Antietam National Battlefield Visitor Center;Antietam National Battlefield Visitor Center
Q100148997;Henry Hill Visitor Center;Henry Hill Visitor Center
Q100107065;Guilford Courthouse National Military Park Battlefield Visitor Center;Guilford Courthouse National Military Park Battlefield Visitor Center
Q100115502;Big Mango;Big Mango
Q104525762;Ridge Junction Overlook;Ridge Junction Overlook
Q100150596;Wilson's Creek National Battlefield Visitor Center;Wilson's Creek National Battlefield Visitor Center
Q100233637;Artists Drive;Artists Drive
Q104525822;Sherman Tree Overlook;Sherman Tree Overlook
